No.,"(x,y)",1,2,3
1,"2,1",-43,-74,-52
2,"2,1",-43,-71,-51
3,"2,1",-44,-70,-53
4,"2,1",-43,-70,-52
5,"2,1",-43,-84,-52
6,"2,1",-44,-84,-51
7,"2,1",-44,-84,-52
8,"2,1",-43,-73,-53
9,"2,1",-44,-73,-53
10,"2,1",-44,-71,-52
11,"2,1",-42,-71,-53
12,"2,1",-43,-70,-57
13,"2,1",-42,-70,-50
14,"12,2",-51,-68,-54
15,"12,2",-42,-63,-56
16,"12,2",-40,-65,-65
17,"12,2",-42,-63,-59
18,"12,2",-42,-65,-58
19,"12,2",-42,-67,-52
20,"12,2",-51,-60,-54
21,"12,2",-50,-62,-61
22,"12,2",-46,-61,-61
23,"12,2",-60,-61,-55
24,"12,2",-50,-64,-61
25,"12,2",-46,-59,-62
26,"12,2",-45,-61,-60
27,"11,3",-41,-71,-57
28,"11,3",-44,-68,-58
29,"11,3",-41,-68,-54
30,"11,3",-40,-64,-57
31,"11,3",-42,-64,-53
32,"11,3",-42,-68,-56
33,"11,3",-42,-66,-56
34,"11,3",-42,-69,-59
35,"11,3",-42,-68,-55
36,"11,3",-42,-69,-55
37,"11,3",-42,-69,-56
38,"11,3",-42,-67,-53
40,"13,4",-56,-65,-48
41,"13,4",-51,-65,-54
42,"13,4",-49,-63,-48
43,"13,4",-48,-66,-53
44,"13,4",-52,-62,-56
45,"13,4",-52,-62,-47
46,"13,4",-51,-59,-48
47,"13,4",-49,-64,-48
48,"13,4",-49,-64,-49
49,"13,4",-50,-64,-51
50,"13,4",-51,-66,-52
51,"13,4",-51,-68,-52
52,"12,5",-46,-61,-51
53,"12,5",-49,-61,-65
54,"12,5",-47,-62,-50
55,"12,5",-44,-67,-48
56,"12,5",-46,-66,-48
57,"12,5",-46,-64,-45
58,"12,5",-47,-61,-51
59,"12,5",-47,-71,-60
60,"12,5",-47,-71,-55
61,"12,5",-47,-58,-61
62,"12,5",-47,-61,-51
63,"12,5",-45,-61,-58
64,"12,5",-52,-61,-62
65,"12,6",-49,-66,-55
66,"12,6",-51,-66,-56
67,"12,6",-50,-68,-54
68,"12,6",-53,-63,-57
